,Message,Spam_Status,num_words,message_len,num_uppercase_chars,num_uppercase_words,contains_free_or_win
0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,ham,20,111,3,0,0
1,ok lar joke wif u oni,ham,6,29,2,0,0
2,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli,spam,33,155,10,2,1
3,u dun say earli hor u c alreadi say,ham,11,49,2,0,0
4,nah think goe usf live around though,ham,14,61,2,0,0
5,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv,spam,37,148,7,0,1
6,even brother like speak treat like aid patent,ham,16,77,2,0,0
7,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,ham,26,160,10,0,0
8,winner valu network custom select receivea prize reward claim call claim code kl valid hour,spam,27,158,12,1,1
9,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free,spam,29,154,14,1,1
10,gonna home soon want talk stuff anymor tonight k cri enough today,ham,24,109,2,0,0
11,six chanc win cash pound txt csh send cost p day day tsandc appli repli hl info,spam,28,136,17,3,1
12,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw,spam,31,156,40,5,1
13,search right word thank breather promi wont take help grant fulfil promi wonder bless time,ham,38,196,3,0,0
14,date sunday,ham,8,35,26,6,0
15,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl,spam,23,149,23,2,0
16,oh k watch,ham,6,26,1,0,0
17,eh u rememb spell name ye v naughti make v wet,ham,19,81,3,0,0
18,fine way u feel way gota b,ham,13,58,4,0,0
19,england v macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt poboxox w wq,spam,27,156,33,3,0
20,seriou spell name,ham,8,41,1,0,0
21,go tri month ha ha joke,ham,13,49,2,0,0
22,pay first lar da stock comin,ham,11,53,3,0,0
23,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi,ham,20,88,3,0,0
24,ffffffffff alright way meet sooner,ham,11,57,3,0,0
25,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,ham,30,144,8,0,0
26,lol alway convinc,ham,5,30,1,0,0
27,catch bu fri egg make tea eat mom left dinner feel love,ham,29,134,6,0,0
28,back amp pack car let know room,ham,19,75,2,0,0
29,ahhh work vagu rememb feel like lol,ham,12,64,5,0,0
30,wait still clear sure sarcast x want live us,ham,29,130,1,0,0
31,yeah got v apologet n fallen actin like spoilt child got caught till go badli cheer,ham,42,189,5,0,0
32,k tell anyth,ham,6,29,1,0,0
33,fear faint housework quick cuppa,ham,17,84,2,0,0
34,thank subscript rington uk mobil charg month plea confirm repli ye repli charg,spam,31,159,13,4,0
35,yup ok go home look time msg xuhui go learn nd may lesson,ham,28,123,4,0,0
36,oop let know roommat done,ham,11,47,2,0,0
37,see letter b car,ham,8,28,2,0,0
38,anyth lor u decid,ham,4,27,2,0,0
39,hello saturday go text see decid anyth tomo tri invit anyth,ham,33,155,4,0,0
40,pl go ahead watt want sure great weekend abiola,ham,17,82,4,0,0
41,forget tell want need crave love sweet arabian steed mmmmmm yummi,ham,28,142,10,0,0
42,rodger burn msg tri call repli sm free nokia mobil free camcord plea call deliveri tomorrow,spam,29,172,7,1,1
43,see,ham,4,19,15,4,0
44,great hope like man well endow lt gt inch,ham,14,72,3,0,0
45,call messag miss call,ham,5,32,1,0,0
46,get hep b immuni nigeria,ham,9,45,1,0,0
47,fair enough anyth go,ham,5,31,1,0,0
48,yeah hope tyler could mayb ask around bit,ham,15,67,2,0,0
49,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker,ham,33,148,7,0,0
50,think first time saw class,ham,12,58,2,0,0
51,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,ham,24,124,1,0,0
52,k fyi x ride earli tomorrow morn crash place tonight,ham,17,80,1,0,0
53,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass,ham,60,291,7,0,0
54,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,spam,22,120,24,3,1
55,know mallika sherawat yesterday find lt url gt,ham,14,76,7,1,0
56,congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss,spam,29,161,12,1,1
57,sorri call later meet,ham,7,34,2,0,0
58,tell reach,ham,4,22,1,0,0
59,ye gauti sehwag odi seri,ham,8,40,1,0,0
60,gonna pick burger way home even move pain kill,ham,24,108,3,0,0
61,ha ha ha good joke girl situat seeker,ham,9,48,2,0,0
62,part check iq,ham,6,25,3,1,0
63,sorri roommat took forev ok come,ham,12,56,2,0,0
64,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,ham,24,110,2,0,0
65,valu custom plea advi follow recent review mob award bonu prize call,spam,29,153,6,0,1
66,today song dedic day song u dedic send ur valuabl frnd first rpli,ham,23,124,3,0,0
67,urgent ur award complimentari trip eurodisinc trav aco entri claim txt di morefrmmob shracomorsglsuplt ls aj,spam,30,161,24,2,0
68,hear new divorc barbi come ken stuff,spam,16,80,5,0,0
69,plane give month end,ham,8,34,1,0,0
70,wah lucki man save money hee,ham,8,46,3,0,0
71,finish class,ham,5,29,1,0,0
72,hi babe im home wanna someth xx,ham,10,45,35,10,0
73,k k perform,ham,9,42,1,0,0
74,u call,ham,5,20,1,0,0
75,wait machan call free,ham,9,43,2,0,1
76,cool gentleman treat digniti respect,ham,14,73,1,0,0
77,like peopl much shi pa,ham,11,50,1,0,0
78,oper lt gt,ham,8,42,1,0,0
79,still look job much ta earn,ham,17,76,4,0,0
80,sorri call later,ham,5,22,2,0,0
81,k call ah,ham,8,32,2,0,0
82,ok way home hi hi,ham,10,32,1,0,0
83,place man,ham,9,36,1,0,0
84,yup next stop,ham,3,14,1,0,0
85,call later network urgnt sm,ham,12,55,2,0,0
86,real u get yo need ticket one jacket done alreadi use multi,ham,27,121,4,0,0
87,ye start send request make pain came back back bed doubl coin factori gotta cash nitro,ham,32,144,5,0,0
88,realli still tonight babe,ham,10,42,1,0,0
89,ela kano il download come wen ur free,ham,8,41,1,0,1
90,yeah stand close tho catch someth,ham,14,62,4,0,0
91,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff moro includ time sheet sorri,ham,40,195,4,0,0
92,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile,ham,26,141,19,1,0
93,plea call custom servic repr pm guarant cash prize,spam,26,139,4,1,0
94,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi,ham,20,107,3,0,0
95,free rington wait collect simpli text password mix verifi get usher britney fml,spam,22,125,11,2,1
96,watch telugu movi wat abt u,ham,6,33,1,0,0
97,see finish load loan pay,ham,12,51,1,0,0
98,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand cau prob u ham,ham,38,184,5,0,0
99,plea text anymor noth el say,ham,12,57,2,0,0
100,okay name ur price long legal wen pick u ave x xx,ham,21,81,4,0,0
101,still look car buy gone drive test yet,ham,17,76,2,0,0
102,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,ham,26,160,10,0,0
103,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,ham,38,183,4,0,0
104,umma life vava umma love lot dear,ham,10,44,1,0,0
105,thank lot wish birthday thank make birthday truli memor,ham,17,95,2,0,0
106,aight hit get cash,ham,11,43,3,0,0
107,would ip address test consid comput minecraft server,ham,15,82,1,0,0
108,know grumpi old peopl mom like better lie alway one play joke,ham,24,115,5,0,0
109,dont worri guess busi,ham,7,30,2,0,0
110,plural noun research,ham,8,40,1,0,0
111,go dinner msg,ham,6,31,1,0,0
112,ok wif co like tri new thing scare u dun like mah co u said loud,ham,25,96,3,0,0
113,gent tri contact last weekend draw show prize guarant call claim code k valid hr ppm,spam,28,159,21,2,0
114,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen,ham,27,143,4,0,0
115,enter cabin pa said happi b day boss felt special askd lunch lunch invit apart went,ham,31,156,11,1,0
116,winner u special select receiv holiday flight inc speak live oper claim p min,spam,29,153,2,0,1
117,goodo ye must speak friday egg potato ratio tortilla need,ham,12,72,2,0,0
118,hmm uncl inform pay school directli pl buy food,ham,17,86,2,0,0
119,privat account statement show unredeem bonu point claim call identifi code expir,spam,20,144,16,1,0
120,urgent mobil award bonu caller prize final tri contact u call landlin box wr c ppm,spam,29,157,25,1,0
121,new address appl pair malarki,ham,10,53,0,0,0
122,today voda number end select receiv award match plea call quot claim code standard rate app,spam,27,156,3,0,0
123,go sao mu today done,ham,13,52,2,0,0
124,predict wat time finish buy,ham,8,40,3,0,0
125,good stuff,ham,4,20,1,0,0
126,know yetund sent money yet sent text bother send dont involv anyth impo anyth first place apolog,ham,49,244,4,0,0
127,room,ham,5,22,1,0,0
128,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,ham,27,107,75,19,0
129,k k much cost,ham,7,28,1,0,0
130,home,ham,3,9,1,0,0
131,dear call tmorrow pl accomod,ham,6,39,2,0,0
132,first answer question,ham,4,25,1,0,0
133,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron,spam,28,126,14,2,1
134,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt ec p msg p,spam,31,162,16,2,0
135,haf msn yiju hotmail com,ham,9,38,2,0,0
136,call meet,ham,8,34,2,0,0
137,check room befor activ,ham,9,46,2,0,0
138,rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri,spam,32,155,12,2,1
139,got c lazi type forgot lect saw pouch like v nice,ham,20,86,5,0,0
140,k text way,ham,9,33,1,0,0
141,sir wait mail,ham,5,27,2,0,0
142,swt thought nver get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud ni,ham,27,158,5,0,0
143,know pl open back,ham,10,42,2,0,0
144,ye see ya dot,ham,7,25,1,0,0
145,staff name take class us,ham,10,48,1,0,0
146,freemsg repli text randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end,spam,31,159,9,0,1
147,ummma call check life begin qatar pl pray hard,ham,17,84,1,0,0
148,k delet contact,ham,7,33,1,0,0
149,sindu got job birla soft,ham,6,30,1,0,0
150,wine flow never,ham,10,45,1,0,1
